Entity,Code,Continent,Sustainable Development Goals (SDG) Regions
Afghanistan,AFG,Asia,Central and Southern Asia
Albania,ALB,Europe,Europe and Northern America
Algeria,DZA,Africa,Northern Africa and Western Asia
Andorra,AND,Europe,Europe and Northern America
Angola,AGO,Africa,Sub-Saharan Africa
Antarctica,ATA,Antarctica,Antarctica
Antigua and Barbuda,ATG,North America,Latin America and the Caribbean
Argentina,ARG,South America,Latin America and the Caribbean
Armenia,ARM,Asia,Northern Africa and Western Asia
Australia,AUS,Oceania,Australia and New Zealand
Austria,AUT,Europe,Europe and Northern America
Azerbaijan,AZE,Asia,Northern Africa and Western Asia
Bahamas,BHS,North America,Latin America and the Caribbean
Bahrain,BHR,Asia,Northern Africa and Western Asia
Bangladesh,BGD,Asia,Central and Southern Asia
Barbados,BRB,North America,Latin America and the Caribbean
Belarus,BLR,Europe,Europe and Northern America
Belgium,BEL,Europe,Europe and Northern America
Belize,BLZ,North America,Latin America and the Caribbean
Benin,BEN,Africa,Sub-Saharan Africa
Bhutan,BTN,Asia,Central and Southern Asia
Bolivia,BOL,South America,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,Europe,Europe and Northern America
Botswana,BWA,Africa,Sub-Saharan Africa
Brazil,BRA,South America,Latin America and the Caribbean
Brunei,BRN,Asia,Eastern and South-Eastern Asia
Bulgaria,BGR,Europe,Europe and Northern America
Burkina Faso,BFA,Africa,Sub-Saharan Africa
Burundi,BDI,Africa,Sub-Saharan Africa
Cambodia,KHM,Asia,Eastern and South-Eastern Asia
Cameroon,CMR,Africa,Sub-Saharan Africa
Canada,CAN,North America,Europe and Northern America
Cape Verde,CPV,Africa,Sub-Saharan Africa
Central African Republic,CAF,Africa,Sub-Saharan Africa
Chad,TCD,Africa,Sub-Saharan Africa
Chile,CHL,South America,Latin America and the Caribbean
China,CHN,Asia,Eastern and South-Eastern Asia
Colombia,COL,South America,Latin America and the Caribbean
Comoros,COM,Africa,Sub-Saharan Africa
Congo,COG,Africa,Sub-Saharan Africa
Costa Rica,CRI,North America,Latin America and the Caribbean
Cote D'Ivoire,CIV,Africa,Sub-Saharan Africa
Croatia,HRV,Europe,Europe and Northern America
Cuba,CUB,North America,Latin America and the Caribbean
Cyprus,CYP,Europe,Northern Africa and Western Asia
Czech Republic,CZE,Europe,Europe and Northern America
Democratic Republic of Congo,COD,Africa,Sub-Saharan Africa
Denmark,DNK,Europe,Europe and Northern America
Djibouti,DJI,Africa,Sub-Saharan Africa
Dominica,DMA,North America,Latin America and the Caribbean
Dominican Republic,DOM,North America,Latin America and the Caribbean
Ecuador,ECU,South America,Latin America and the Caribbean
Egypt,EGY,Africa,Northern Africa and Western Asia
El Salvador,SLV,North America,Latin America and the Caribbean
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa
Eritrea,ERI,Africa,Sub-Saharan Africa
Estonia,EST,Europe,Europe and Northern America
Eswatini,SWZ,Africa,Sub-Saharan Africa
Ethiopia,ETH,Africa,Sub-Saharan Africa
Fiji,FJI,Oceania,Oceania
Finland,FIN,Europe,Europe and Northern America
France,FRA,Europe,Europe and Northern America
Gabon,GAB,Africa,Sub-Saharan Africa
Gambia,GMB,Africa,Sub-Saharan Africa
Georgia,GEO,Asia,Northern Africa and Western Asia
Germany,DEU,Europe,Europe and Northern America
Ghana,GHA,Africa,Sub-Saharan Africa
Greece,GRC,Europe,Europe and Northern America
Grenada,GRD,North America,Latin America and the Caribbean
Guatemala,GTM,North America,Latin America and the Caribbean
Guinea,GIN,Africa,Sub-Saharan Africa
Guinea Bissau,GNB,Africa,Sub-Saharan Africa
Guyana,GUY,South America,Latin America and the Caribbean
Haiti,HTI,North America,Latin America and the Caribbean
Honduras,HND,North America,Latin America and the Caribbean
Hungary,HUN,Europe,Europe and Northern America
Iceland,ISL,Europe,Europe and Northern America
India,IND,Asia,Central and Southern Asia
Indonesia,IDN,Asia,Eastern and South-Eastern Asia
Iran,IRN,Asia,Central and Southern Asia
Iraq,IRQ,Asia,Northern Africa and Western Asia
Ireland,IRL,Europe,Europe and Northern America
Israel,ISR,Asia,Northern Africa and Western Asia
Italy,ITA,Europe,Europe and Northern America
Jamaica,JAM,North America,Latin America and the Caribbean
Japan,JPN,Asia,Eastern and South-Eastern Asia
Jordan,JOR,Asia,Northern Africa and Western Asia
Kazakhstan,KAZ,Asia,Central and Southern Asia
Kenya,KEN,Africa,Sub-Saharan Africa
Kiribati,KIR,Asia,Eastern and South-Eastern Asia
Kuwait,KWT,Asia,Northern Africa and Western Asia
Kyrgyzstan,KGZ,Asia,Central and Southern Asia
Laos,LAO,Asia,Eastern and South-Eastern Asia
Latvia,LVA,Europe,Europe and Northern America
Lebanon,LBN,Asia,Northern Africa and Western Asia
Lesotho,LSO,Africa,Sub-Saharan Africa
Liberia,LBR,Africa,Sub-Saharan Africa
Libya,LBY,Africa,Northern Africa and Western Asia
Liechtenstein,LIE,Europe,Europe and Northern America
Lithuania,LTU,Europe,Europe and Northern America
Luxembourg,LUX,Europe,Europe and Northern America
Madagascar,MDG,Africa,Sub-Saharan Africa
Malawi,MWI,Africa,Sub-Saharan Africa
Malaysia,MYS,Asia,Eastern and South-Eastern Asia
Maldives,MDV,Asia,Central and Southern Asia
Mali,MLI,Africa,Sub-Saharan Africa
Malta,MLT,Europe,Europe and Northern America
Marshall Islands,MHL,Oceania,Oceania
Mauritania,MRT,Africa,Sub-Saharan Africa
Mauritius,MUS,Africa,Sub-Saharan Africa
Mexico,MEX,North America,Latin America and the Caribbean
Micronesia (country),FSM,Oceania,Oceania
Monaco,MCO,Europe,Europe and Northern America
Mongolia,MNG,Asia,Eastern and South-Eastern Asia
Montenegro,MNE,Europe,Europe and Northern America
Morocco,MAR,Africa,Northern Africa and Western Asia
Mozambique,MOZ,Africa,Sub-Saharan Africa
Myanmar,MMR,Asia,Eastern and South-Eastern Asia
Namibia,NAM,Africa,Sub-Saharan Africa
Nauru,NRU,Oceania,Oceania
Nepal,NPL,Asia,Central and Southern Asia
Netherlands,NLD,Europe,Europe and Northern America
New Zealand,NZL,Oceania,Australia and New Zealand
Nicaragua,NIC,North America,Latin America and the Caribbean
Niger,NER,Africa,Sub-Saharan Africa
Nigeria,NGA,Africa,Sub-Saharan Africa
North Korea,PRK,Asia,Eastern and South-Eastern Asia
North Macedonia,MKD,Europe,Europe and Northern America
Norway,NOR,Europe,Europe and Northern America
Oman,OMN,Asia,Northern Africa and Western Asia
Pakistan,PAK,Asia,Central and Southern Asia
Palau,PLW,Asia,Eastern and South-Eastern Asia
Panama,PAN,North America,Latin America and the Caribbean
Papua New Guinea,PNG,Asia,Eastern and South-Eastern Asia
Paraguay,PRY,South America,Latin America and the Caribbean
Peru,PER,South America,Latin America and the Caribbean
Philippines,PHL,Asia,Eastern and South-Eastern Asia
Poland,POL,Europe,Europe and Northern America
Portugal,PRT,Europe,Europe and Northern America
Qatar,QAT,Asia,Northern Africa and Western Asia
Republic of Moldova,MDA,Europe,Europe and Northern America
Romania,ROU,Europe,Europe and Northern America
Russia,RUS,Europe,Europe and Northern America
Rwanda,RWA,Africa,Sub-Saharan Africa
Saint Kitts and Nevis,KNA,North America,Latin America and the Caribbean
Saint Lucia,LCA,North America,Latin America and the Caribbean
Saint Vincent and the Grenadines,VCT,North America,Latin America and the Caribbean
Samoa,WSM,Oceania,Oceania
San Marino,SMR,Europe,Europe and Northern America
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa
Saudi Arabia,SAU,Asia,Northern Africa and Western Asia
Senegal,SEN,Africa,Sub-Saharan Africa
Serbia,SRB,Europe,Europe and Northern America
Seychelles,SYC,Africa,Sub-Saharan Africa
Sierra Leone,SLE,Africa,Sub-Saharan Africa
Singapore,SGP,Asia,Eastern and South-Eastern Asia
Slovakia,SVK,Europe,Europe and Northern America
Slovenia,SVN,Europe,Europe and Northern America
Solomon Islands,SLB,Oceania,Oceania
Somalia,SOM,Africa,Sub-Saharan Africa
South Africa,ZAF,Africa,Sub-Saharan Africa
Republic of Korea,KOR,Asia,Eastern and South-Eastern Asia
South Sudan,SSD,Africa,Sub-Saharan Africa
Spain,ESP,Europe,Europe and Northern America
Sri Lanka,LKA,Asia,Central and Southern Asia
Sudan,SDN,Africa,Northern Africa and Western Asia
Suriname,SUR,South America,Latin America and the Caribbean
Sweden,SWE,Europe,Europe and Northern America
Switzerland,CHE,Europe,Europe and Northern America
Syria,SYR,Asia,Northern Africa and Western Asia
Tajikistan,TJK,Asia,Central and Southern Asia
Thailand,THA,Asia,Eastern and South-Eastern Asia
Timor-Leste,TIL,Asia,Eastern and South-Eastern Asia
Togo,TGO,Africa,Sub-Saharan Africa
Tonga,TON,Oceania,Oceania
Trinidad and Tobago,TTO,North America,Latin America and the Caribbean
Tunisia,TUN,Africa,Northern Africa and Western Asia
Turkey,TUR,Asia,Northern Africa and Western Asia
Turkmenistan,TKM,Asia,Central and Southern Asia
Tuvalu,TUV,Oceania,Oceania
Uganda,UGA,Africa,Sub-Saharan Africa
Ukraine,UKR,Europe,Europe and Northern America
United Arab Emirates,ARE,Asia,Northern Africa and Western Asia
United Kingdom,GBR,Europe,Europe and Northern America
United Republic of Tanzania,TZN,Africa,Sub-Saharan Africa
United States,USA,North America,Europe and Northern America
Uruguay,URY,South America,Latin America and the Caribbean
Uzbekistan,UZB,Asia,Central and Southern Asia
Vanuatu,VUT,Oceania,Oceania
Venezuela,VEN,South America,Latin America and the Caribbean
Vietnam,VNM,Asia,Eastern and South-Eastern Asia
Yemen,YEM,Asia,Northern Africa and Western Asia
Zambia,ZMB,Africa,Sub-Saharan Africa
Zimbabwe,ZWE,Africa,Sub-Saharan Africa
